ImageID,Genotype,Stained,LeafSide,CellAge,Cell#,Area,MeanCellFluorescence,IntegratedDensity,CorrectedTotalCellFluorescence
BdWT PDMPO adaxial snap03 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,8,376.963,7246.071,2731499.712,1134185.767
BdWT PDMPO adaxial snap02 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,9,272.194,8160.528,2221247.698,1067873.834
BdWT PDMPO adaxial snap01 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdWT,Y,AD,Old,10,149.827,9086.375,1361388.694,726523.3189
BdWT PDMPO adaxial snap10 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,1,228.568,11523.366,2633869.773,1864376.714
BdWT PDMPO adaxial snap09 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,2,186.21,10827.682,2016223.414,1389332.062
BdWT PDMPO adaxial snap08 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,3,180.358,11970.521,2158976.186,1551786.076
BdWT PDMPO adaxial snap07 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,4,313.651,8870.879,2782363.791,1726431.783
BdWT PDMPO adaxial snap06 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,5,141.724,31375.064,4446608.348,3969482.791
BdWT PDMPO adaxial snap05 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,6,188.584,18908.602,3565854.731,2930971.112
BdWT PDMPO adaxial snap04 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,7,329.408,5240.841,1726373.158,617393.907
BdWT PDMPO adaxial snap03 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,8,136.895,7753.7,1061443.478,600575.1489
BdWT PDMPO adaxial snap02 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,9,274.036,7799.922,2137457.505,1214892.667
BdWT PDMPO adaxial snap01 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdWT,Y,AD,Young,10,196.319,6490.472,1274200.392,613276.2567
